quarter,dong_code,dong_name,industry_code,industry_name,monthly_sales,monthly_count
20212,11440565,공덕동,CS100001,한식음식점,9740510936,282914
20212,11440565,공덕동,CS100002,중식음식점,274099766,13164
20212,11440565,공덕동,CS100003,일식음식점,926448796,13584
20212,11440565,공덕동,CS100004,양식음식점,304970974,9404
20212,11440565,공덕동,CS100005,제과점,1084780586,98803
20212,11440565,공덕동,CS100006,패스트푸드점,159015991,10178
20212,11440565,공덕동,CS100007,치킨전문점,235759863,11993
20212,11440565,공덕동,CS100008,분식전문점,623180903,54456
20212,11440565,공덕동,CS100009,호프-간이주점,2089905846,57668
20212,11440565,공덕동,CS100010,커피-음료,919828724,159388
20213,11440565,공덕동,CS100001,한식음식점,7629607401,252692
20213,11440565,공덕동,CS100002,중식음식점,319277279,14483
20213,11440565,공덕동,CS100003,일식음식점,639292250,11800
20213,11440565,공덕동,CS100004,양식음식점,263498607,8223
20213,11440565,공덕동,CS100005,제과점,1023036633,99964
20213,11440565,공덕동,CS100006,패스트푸드점,177012689,10942
20213,11440565,공덕동,CS100007,치킨전문점,256624889,13010
20213,11440565,공덕동,CS100008,분식전문점,551266887,44963
20213,11440565,공덕동,CS100009,호프-간이주점,1634869782,50064
20213,11440565,공덕동,CS100010,커피-음료,912336313,160626
20214,11440565,공덕동,CS100001,한식음식점,9999867133,272156
20214,11440565,공덕동,CS100002,중식음식점,354291812,15571
20214,11440565,공덕동,CS100003,일식음식점,1204884809,14515
20214,11440565,공덕동,CS100004,양식음식점,397064376,9692
20214,11440565,공덕동,CS100005,제과점,1217815219,99984
20214,11440565,공덕동,CS100006,패스트푸드점,169636583,11118
20214,11440565,공덕동,CS100007,치킨전문점,172291734,7289
20214,11440565,공덕동,CS100008,분식전문점,600830686,49811
20214,11440565,공덕동,CS100009,호프-간이주점,2284407335,62176
20214,11440565,공덕동,CS100010,커피-음료,920737658,148851
20221,11440565,공덕동,CS100001,한식음식점,7984800335,226122
20221,11440565,공덕동,CS100002,중식음식점,354311472,15484
20221,11440565,공덕동,CS100003,일식음식점,746917274,10104
20221,11440565,공덕동,CS100004,양식음식점,264835701,7937
20221,11440565,공덕동,CS100005,제과점,1025034884,89847
20221,11440565,공덕동,CS100006,패스트푸드점,168875116,9618
20221,11440565,공덕동,CS100007,치킨전문점,155773672,5952
20221,11440565,공덕동,CS100008,분식전문점,641616534,61793
20221,11440565,공덕동,CS100009,호프-간이주점,1668718451,40525
20221,11440565,공덕동,CS100010,커피-음료,813317319,146098
20222,11440565,공덕동,CS100001,한식음식점,10997709467,276516
20222,11440565,공덕동,CS100002,중식음식점,140683801,5923
20222,11440565,공덕동,CS100003,일식음식점,809469050,11763
20222,11440565,공덕동,CS100004,양식음식점,421755613,8965
20222,11440565,공덕동,CS100005,제과점,995714101,88768
20222,11440565,공덕동,CS100006,패스트푸드점,168916245,9395
20222,11440565,공덕동,CS100007,치킨전문점,265084352,8104
20222,11440565,공덕동,CS100008,분식전문점,796833352,76613
20222,11440565,공덕동,CS100009,호프-간이주점,2989119436,68010
20222,11440565,공덕동,CS100010,커피-음료,1083573247,182635
20223,11440565,공덕동,CS100001,한식음식점,10933484934,272362
20223,11440565,공덕동,CS100002,중식음식점,365702158,16072
20223,11440565,공덕동,CS100003,일식음식점,950213386,14392
20223,11440565,공덕동,CS100004,양식음식점,359557709,8259
20223,11440565,공덕동,CS100005,제과점,957951189,90841
20223,11440565,공덕동,CS100006,패스트푸드점,131778351,7293
20223,11440565,공덕동,CS100007,치킨전문점,263988330,8041
20223,11440565,공덕동,CS100008,분식전문점,853613975,79791
20223,11440565,공덕동,CS100009,호프-간이주점,2821246156,61523
20223,11440565,공덕동,CS100010,커피-음료,1179624655,200581
20224,11440565,공덕동,CS100001,한식음식점,13839707010,288202
20224,11440565,공덕동,CS100002,중식음식점,360566258,15332
20224,11440565,공덕동,CS100003,일식음식점,1636484978,20469
20224,11440565,공덕동,CS100004,양식음식점,389686505,8651
20224,11440565,공덕동,CS100005,제과점,1107624633,98482
20224,11440565,공덕동,CS100006,패스트푸드점,105979856,6790
20224,11440565,공덕동,CS100007,치킨전문점,232770485,7123
20224,11440565,공덕동,CS100008,분식전문점,873050591,81556
20224,11440565,공덕동,CS100009,호프-간이주점,2768760062,60265
20224,11440565,공덕동,CS100010,커피-음료,1088300421,178789
20231,11440565,공덕동,CS100001,한식음식점,12621812294,273405
20231,11440565,공덕동,CS100002,중식음식점,361151438,14624
20231,11440565,공덕동,CS100003,일식음식점,1148746871,15296
20231,11440565,공덕동,CS100004,양식음식점,367247187,7849
20231,11440565,공덕동,CS100005,제과점,977778908,93706
20231,11440565,공덕동,CS100006,패스트푸드점,94879158,6723
20231,11440565,공덕동,CS100007,치킨전문점,221995661,6874
20231,11440565,공덕동,CS100008,분식전문점,927577213,77820
20231,11440565,공덕동,CS100009,호프-간이주점,2980574252,60516
20231,11440565,공덕동,CS100010,커피-음료,1093966914,175607
20232,11440565,공덕동,CS100001,한식음식점,13012036568,290374
20232,11440565,공덕동,CS100002,중식음식점,339933578,14424
20232,11440565,공덕동,CS100003,일식음식점,868704116,10807
20232,11440565,공덕동,CS100004,양식음식점,356126750,7839
20232,11440565,공덕동,CS100005,제과점,914453534,90959
20232,11440565,공덕동,CS100006,패스트푸드점,107240193,7000
20232,11440565,공덕동,CS100007,치킨전문점,266672621,8549
20232,11440565,공덕동,CS100008,분식전문점,897636148,78718
20232,11440565,공덕동,CS100009,호프-간이주점,3048482055,63180
20232,11440565,공덕동,CS100010,커피-음료,1193905127,201243
20233,11440565,공덕동,CS100001,한식음식점,12399162999,287576
20233,11440565,공덕동,CS100002,중식음식점,379515125,17109
20233,11440565,공덕동,CS100003,일식음식점,667561144,8644
20233,11440565,공덕동,CS100004,양식음식점,348792097,7527
20233,11440565,공덕동,CS100005,제과점,890963926,90409
20233,11440565,공덕동,CS100006,패스트푸드점,91659925,6531
20233,11440565,공덕동,CS100007,치킨전문점,289966794,12078
20233,11440565,공덕동,CS100008,분식전문점,948600017,78313
20233,11440565,공덕동,CS100009,호프-간이주점,2710333027,57086
20233,11440565,공덕동,CS100010,커피-음료,1244014469,206211
20234,11440565,공덕동,CS100001,한식음식점,13974110683,291400
20234,11440565,공덕동,CS100002,중식음식점,390918329,16301
20234,11440565,공덕동,CS100003,일식음식점,730651405,8125
20234,11440565,공덕동,CS100004,양식음식점,436008226,7263
20234,11440565,공덕동,CS100005,제과점,977089886,88106
20234,11440565,공덕동,CS100006,패스트푸드점,99183708,6109
20234,11440565,공덕동,CS100007,치킨전문점,265749001,10533
20234,11440565,공덕동,CS100008,분식전문점,854243625,74813
20234,11440565,공덕동,CS100009,호프-간이주점,2691712075,49036
20234,11440565,공덕동,CS100010,커피-음료,1157165269,184383
20241,11440565,공덕동,CS100001,한식음식점,13637743555,290133
20241,11440565,공덕동,CS100002,중식음식점,393092237,15480
20241,11440565,공덕동,CS100003,일식음식점,618896456,5643
20241,11440565,공덕동,CS100004,양식음식점,372557824,7168
20241,11440565,공덕동,CS100005,제과점,926715238,92637
20241,11440565,공덕동,CS100006,패스트푸드점,82576704,5362
20241,11440565,공덕동,CS100007,치킨전문점,233879432,8782
20241,11440565,공덕동,CS100008,분식전문점,878434751,73346
20241,11440565,공덕동,CS100009,호프-간이주점,2268963413,48637
20241,11440565,공덕동,CS100010,커피-음료,1042544588,166446
20242,11440565,공덕동,CS100001,한식음식점,13568162454,297611
20242,11440565,공덕동,CS100002,중식음식점,343308774,13915
20242,11440565,공덕동,CS100003,일식음식점,591840047,5717
20242,11440565,공덕동,CS100004,양식음식점,371289204,7433
20242,11440565,공덕동,CS100005,제과점,861603867,89596
20242,11440565,공덕동,CS100006,패스트푸드점,103493120,6648
20242,11440565,공덕동,CS100007,치킨전문점,260578523,8578
20242,11440565,공덕동,CS100008,분식전문점,872605387,74523
20242,11440565,공덕동,CS100009,호프-간이주점,3172863903,72072
20242,11440565,공덕동,CS100010,커피-음료,1082185279,174006
20243,11440565,공덕동,CS100001,한식음식점,12831497618,283136
20243,11440565,공덕동,CS100002,중식음식점,316245870,12352
20243,11440565,공덕동,CS100003,일식음식점,440068994,5311
20243,11440565,공덕동,CS100004,양식음식점,338290210,6698
20243,11440565,공덕동,CS100005,제과점,828483232,89235
20243,11440565,공덕동,CS100006,패스트푸드점,110226735,7020
20243,11440565,공덕동,CS100007,치킨전문점,247438477,7594
20243,11440565,공덕동,CS100008,분식전문점,886091163,70401
20243,11440565,공덕동,CS100009,호프-간이주점,3345322794,75547
20243,11440565,공덕동,CS100010,커피-음료,1102020088,167374
20244,11440565,공덕동,CS100001,한식음식점,14763934609,306704
20244,11440565,공덕동,CS100002,중식음식점,311083598,11684
20244,11440565,공덕동,CS100003,일식음식점,543734881,3631
20244,11440565,공덕동,CS100004,양식음식점,375125672,6845
20244,11440565,공덕동,CS100005,제과점,1001732506,94039
20244,11440565,공덕동,CS100006,패스트푸드점,108264188,6055
20244,11440565,공덕동,CS100007,치킨전문점,250512410,7897
20244,11440565,공덕동,CS100008,분식전문점,765069167,68619
20244,11440565,공덕동,CS100009,호프-간이주점,3346172366,73521
20244,11440565,공덕동,CS100010,커피-음료,905076270,137033
20191,11440600,대흥동,CS100001,한식음식점,4119615775,196439
20191,11440600,대흥동,CS100002,중식음식점,189318281,11581
20191,11440600,대흥동,CS100003,일식음식점,129258666,9903
20191,11440600,대흥동,CS100004,양식음식점,142237738,5090
20191,11440600,대흥동,CS100005,제과점,494742631,73433
20191,11440600,대흥동,CS100006,패스트푸드점,251108378,21848
20191,11440600,대흥동,CS100008,분식전문점,291898264,40906
20191,11440600,대흥동,CS100009,호프-간이주점,155037456,3521
20191,11440600,대흥동,CS100010,커피-음료,643015194,91437
20192,11440600,대흥동,CS100001,한식음식점,4518300435,238029
20192,11440600,대흥동,CS100002,중식음식점,203056388,13468
20192,11440600,대흥동,CS100003,일식음식점,166487911,13242
20192,11440600,대흥동,CS100004,양식음식점,139144365,5383
20192,11440600,대흥동,CS100005,제과점,521481112,80958
20192,11440600,대흥동,CS100006,패스트푸드점,271001827,25410
20192,11440600,대흥동,CS100008,분식전문점,379687395,52448
20192,11440600,대흥동,CS100009,호프-간이주점,181456188,4197
20192,11440600,대흥동,CS100010,커피-음료,846559502,130617
20193,11440600,대흥동,CS100001,한식음식점,4274972989,218224
20193,11440600,대흥동,CS100002,중식음식점,175523549,11148
20193,11440600,대흥동,CS100003,일식음식점,122498785,9219
20193,11440600,대흥동,CS100004,양식음식점,165217941,6396
20193,11440600,대흥동,CS100005,제과점,466805437,70345
20193,11440600,대흥동,CS100006,패스트푸드점,252819339,21807
20193,11440600,대흥동,CS100008,분식전문점,370917963,49461
20193,11440600,대흥동,CS100009,호프-간이주점,160029263,3353
20193,11440600,대흥동,CS100010,커피-음료,821521447,124366
20194,11440600,대흥동,CS100001,한식음식점,5350746794,263141
20194,11440600,대흥동,CS100002,중식음식점,165035662,11981
20194,11440600,대흥동,CS100003,일식음식점,135549842,10808
20194,11440600,대흥동,CS100004,양식음식점,188594879,7218
20194,11440600,대흥동,CS100005,제과점,529231023,79120
20194,11440600,대흥동,CS100006,패스트푸드점,270673476,24906
20194,11440600,대흥동,CS100008,분식전문점,408458935,53990
20194,11440600,대흥동,CS100009,호프-간이주점,177657110,4367
20194,11440600,대흥동,CS100010,커피-음료,697846964,127578
20201,11440600,대흥동,CS100001,한식음식점,4107351362,192961
20201,11440600,대흥동,CS100002,중식음식점,145692641,9648
20201,11440600,대흥동,CS100003,일식음식점,82390281,6050
20201,11440600,대흥동,CS100004,양식음식점,135578057,4963
20201,11440600,대흥동,CS100005,제과점,495007740,73163
20201,11440600,대흥동,CS100006,패스트푸드점,223280649,20492
20201,11440600,대흥동,CS100008,분식전문점,383737193,52190
20201,11440600,대흥동,CS100009,호프-간이주점,164535797,2917
20201,11440600,대흥동,CS100010,커피-음료,411916466,81681
20202,11440600,대흥동,CS100001,한식음식점,4131475953,201620
20202,11440600,대흥동,CS100002,중식음식점,128477009,8879
20202,11440600,대흥동,CS100003,일식음식점,88962584,6653
20202,11440600,대흥동,CS100004,양식음식점,99483840,3938
20202,11440600,대흥동,CS100005,제과점,481149122,72661
20202,11440600,대흥동,CS100006,패스트푸드점,221782254,18712
20202,11440600,대흥동,CS100008,분식전문점,391629516,51970
20202,11440600,대흥동,CS100009,호프-간이주점,185305608,3452
20202,11440600,대흥동,CS100010,커피-음료,833567165,164025
20203,11440600,대흥동,CS100001,한식음식점,3882593957,202935
20203,11440600,대흥동,CS100002,중식음식점,110007776,8012
20203,11440600,대흥동,CS100003,일식음식점,92278773,6795
20203,11440600,대흥동,CS100004,양식음식점,98887264,3748
20203,11440600,대흥동,CS100005,제과점,452066860,65214
20203,11440600,대흥동,CS100006,패스트푸드점,185142556,17096
20203,11440600,대흥동,CS100008,분식전문점,393535878,51336
20203,11440600,대흥동,CS100009,호프-간이주점,257922319,3737
20203,11440600,대흥동,CS100010,커피-음료,965727387,173698
20204,11440600,대흥동,CS100001,한식음식점,3733335805,193134
20204,11440600,대흥동,CS100002,중식음식점,126005358,8464
20204,11440600,대흥동,CS100003,일식음식점,83594828,6401
20204,11440600,대흥동,CS100004,양식음식점,102029501,3426
20204,11440600,대흥동,CS100005,제과점,472935802,65818
20204,11440600,대흥동,CS100006,패스트푸드점,172048254,16381
20204,11440600,대흥동,CS100008,분식전문점,368021855,50465
20204,11440600,대흥동,CS100009,호프-간이주점,186675258,2551
20204,11440600,대흥동,CS100010,커피-음료,891845018,161267
20211,11440600,대흥동,CS100001,한식음식점,3627485295,169974
20211,11440600,대흥동,CS100002,중식음식점,258562138,19760
20211,11440600,대흥동,CS100003,일식음식점,77655949,5540
20211,11440600,대흥동,CS100004,양식음식점,161501267,7941
20211,11440600,대흥동,CS100005,제과점,443233347,72337
20211,11440600,대흥동,CS100006,패스트푸드점,150073646,11566
20211,11440600,대흥동,CS100007,치킨전문점,51757381,1622
20211,11440600,대흥동,CS100008,분식전문점,616385333,76335
20211,11440600,대흥동,CS100009,호프-간이주점,378953269,10102
20211,11440600,대흥동,CS100010,커피-음료,918174720,154812
20212,11440600,대흥동,CS100001,한식음식점,4311777555,209232
20212,11440600,대흥동,CS100002,중식음식점,290152542,23265
20212,11440600,대흥동,CS100003,일식음식점,100497086,7336
20212,11440600,대흥동,CS100004,양식음식점,361705267,17628
20212,11440600,대흥동,CS100005,제과점,535590118,84587
20212,11440600,대흥동,CS100006,패스트푸드점,153487629,12793
20212,11440600,대흥동,CS100007,치킨전문점,35510314,1356
20212,11440600,대흥동,CS100008,분식전문점,708004833,88891
20212,11440600,대흥동,CS100009,호프-간이주점,647369376,16223
20212,11440600,대흥동,CS100010,커피-음료,1435227277,246708
20213,11440600,대흥동,CS100001,한식음식점,3593870697,177335
20213,11440600,대흥동,CS100002,중식음식점,232387677,21715
20213,11440600,대흥동,CS100003,일식음식점,108968398,7186
20213,11440600,대흥동,CS100004,양식음식점,298177660,14537
20213,11440600,대흥동,CS100005,제과점,483458622,79252
20213,11440600,대흥동,CS100006,패스트푸드점,146129754,12150
20213,11440600,대흥동,CS100007,치킨전문점,45910205,1594
20213,11440600,대흥동,CS100008,분식전문점,579838850,71614
20213,11440600,대흥동,CS100009,호프-간이주점,536920620,12303
20213,11440600,대흥동,CS100010,커피-음료,1378197209,264878
20214,11440600,대흥동,CS100001,한식음식점,4636569555,204327
20214,11440600,대흥동,CS100002,중식음식점,259181940,25691
20214,11440600,대흥동,CS100003,일식음식점,150203991,8167
20214,11440600,대흥동,CS100004,양식음식점,324441913,16110
20214,11440600,대흥동,CS100005,제과점,509250200,77996
20214,11440600,대흥동,CS100006,패스트푸드점,150011986,12276
20214,11440600,대흥동,CS100007,치킨전문점,31557211,1125
20214,11440600,대흥동,CS100008,분식전문점,797616129,93939
20214,11440600,대흥동,CS100009,호프-간이주점,749525250,14765
20214,11440600,대흥동,CS100010,커피-음료,1492932430,276068
20221,11440600,대흥동,CS100001,한식음식점,3650554094,172014
20221,11440600,대흥동,CS100002,중식음식점,193474113,19400
20221,11440600,대흥동,CS100003,일식음식점,129455818,7471
20221,11440600,대흥동,CS100004,양식음식점,256829472,13317
20221,11440600,대흥동,CS100005,제과점,444678061,68201
20221,11440600,대흥동,CS100006,패스트푸드점,124623255,9355
20221,11440600,대흥동,CS100007,치킨전문점,28590148,1119
20221,11440600,대흥동,CS100008,분식전문점,674091573,77834
20221,11440600,대흥동,CS100009,호프-간이주점,405365073,8130
20221,11440600,대흥동,CS100010,커피-음료,1257997254,237144
20222,11440600,대흥동,CS100001,한식음식점,4718553872,222956
20222,11440600,대흥동,CS100002,중식음식점,209264766,23689
20222,11440600,대흥동,CS100003,일식음식점,177625858,10036
20222,11440600,대흥동,CS100004,양식음식점,463934159,22080
20222,11440600,대흥동,CS100005,제과점,435000828,67538
20222,11440600,대흥동,CS100006,패스트푸드점,116436129,10556
20222,11440600,대흥동,CS100007,치킨전문점,49224880,1527
20222,11440600,대흥동,CS100008,분식전문점,850650769,95205
20222,11440600,대흥동,CS100009,호프-간이주점,1014075968,22722
20222,11440600,대흥동,CS100010,커피-음료,1724428371,348504
20223,11440600,대흥동,CS100001,한식음식점,4707322424,215166
20223,11440600,대흥동,CS100002,중식음식점,254188111,24114
20223,11440600,대흥동,CS100003,일식음식점,155231910,8901
20223,11440600,대흥동,CS100004,양식음식점,409651026,19056
20223,11440600,대흥동,CS100005,제과점,408060254,62788
20223,11440600,대흥동,CS100006,패스트푸드점,126712207,10257
20223,11440600,대흥동,CS100007,치킨전문점,55770998,1699
20223,11440600,대흥동,CS100008,분식전문점,864750322,95203
20223,11440600,대흥동,CS100009,호프-간이주점,914694908,19129
20223,11440600,대흥동,CS100010,커피-음료,1670603084,342896
20224,11440600,대흥동,CS100001,한식음식점,5536538590,245716
20224,11440600,대흥동,CS100002,중식음식점,295503441,28016
20224,11440600,대흥동,CS100003,일식음식점,178095184,9709
20224,11440600,대흥동,CS100004,양식음식점,440638236,20715
20224,11440600,대흥동,CS100005,제과점,533182421,75951
20224,11440600,대흥동,CS100006,패스트푸드점,136309475,11635
20224,11440600,대흥동,CS100007,치킨전문점,44618718,1552
20224,11440600,대흥동,CS100008,분식전문점,966296355,100564
20224,11440600,대흥동,CS100009,호프-간이주점,946878185,18352
20224,11440600,대흥동,CS100010,커피-음료,1724161596,345953
20231,11440600,대흥동,CS100001,한식음식점,5345276476,220283
20231,11440600,대흥동,CS100002,중식음식점,303410212,29691
20231,11440600,대흥동,CS100003,일식음식점,162908411,8475
20231,11440600,대흥동,CS100004,양식음식점,429273883,18881
20231,11440600,대흥동,CS100005,제과점,464758402,69269
20231,11440600,대흥동,CS100006,패스트푸드점,204196856,17841
20231,11440600,대흥동,CS100007,치킨전문점,44039094,1286
20231,11440600,대흥동,CS100008,분식전문점,861773221,88573
20231,11440600,대흥동,CS100009,호프-간이주점,747422392,14052
20231,11440600,대흥동,CS100010,커피-음료,1445062935,282213
20232,11440600,대흥동,CS100001,한식음식점,5994229920,258673
20232,11440600,대흥동,CS100002,중식음식점,325413178,30956
20232,11440600,대흥동,CS100003,일식음식점,117215423,4578
20232,11440600,대흥동,CS100004,양식음식점,487408335,21449
20232,11440600,대흥동,CS100005,제과점,509946936,77613
20232,11440600,대흥동,CS100006,패스트푸드점,272718092,24298
20232,11440600,대흥동,CS100007,치킨전문점,52264776,1688
20232,11440600,대흥동,CS100008,분식전문점,983594724,103316
20232,11440600,대흥동,CS100009,호프-간이주점,758268632,15561
20232,11440600,대흥동,CS100010,커피-음료,1816530836,378235
20233,11440600,대흥동,CS100001,한식음식점,5200545502,227019
20233,11440600,대흥동,CS100002,중식음식점,292072850,29380
20233,11440600,대흥동,CS100003,일식음식점,96714951,3055
20233,11440600,대흥동,CS100004,양식음식점,445540913,18078
20233,11440600,대흥동,CS100005,제과점,443190234,67075
20233,11440600,대흥동,CS100006,패스트푸드점,241042194,20253
20233,11440600,대흥동,CS100007,치킨전문점,131832960,5598
20233,11440600,대흥동,CS100008,분식전문점,689636025,75296
20233,11440600,대흥동,CS100009,호프-간이주점,683198934,15285
20233,11440600,대흥동,CS100010,커피-음료,1817905137,367704
20234,11440600,대흥동,CS100001,한식음식점,5830147527,257653
20234,11440600,대흥동,CS100002,중식음식점,323057521,30701
20234,11440600,대흥동,CS100003,일식음식점,98001023,3186
20234,11440600,대흥동,CS100004,양식음식점,459169272,19712
20234,11440600,대흥동,CS100005,제과점,474482084,66667
20234,11440600,대흥동,CS100006,패스트푸드점,238772220,20053
20234,11440600,대흥동,CS100007,치킨전문점,425581231,17064
20234,11440600,대흥동,CS100008,분식전문점,814848731,90427
20234,11440600,대흥동,CS100009,호프-간이주점,686001992,14964
20234,11440600,대흥동,CS100010,커피-음료,1742741552,338372
20241,11440600,대흥동,CS100001,한식음식점,5544794534,236573
20241,11440600,대흥동,CS100002,중식음식점,295018646,27261
20241,11440600,대흥동,CS100003,일식음식점,78816468,2875
20241,11440600,대흥동,CS100004,양식음식점,348205952,12828
20241,11440600,대흥동,CS100005,제과점,484110082,66678
20241,11440600,대흥동,CS100006,패스트푸드점,194706926,16252
20241,11440600,대흥동,CS100007,치킨전문점,294824898,11887
20241,11440600,대흥동,CS100008,분식전문점,723921490,80427
20241,11440600,대흥동,CS100009,호프-간이주점,525870802,14155
20241,11440600,대흥동,CS100010,커피-음료,1466410324,272896
20242,11440600,대흥동,CS100001,한식음식점,5920413812,255544
20242,11440600,대흥동,CS100002,중식음식점,295678889,25507
20242,11440600,대흥동,CS100003,일식음식점,112585239,3674
20242,11440600,대흥동,CS100004,양식음식점,413272534,16880
20242,11440600,대흥동,CS100005,제과점,572642080,80399
20242,11440600,대흥동,CS100006,패스트푸드점,263074424,21002
20242,11440600,대흥동,CS100007,치킨전문점,414494592,15798
20242,11440600,대흥동,CS100008,분식전문점,898235420,96471
20242,11440600,대흥동,CS100009,호프-간이주점,578048845,15938
20242,11440600,대흥동,CS100010,커피-음료,1923753809,383198
20243,11440600,대흥동,CS100001,한식음식점,5225837440,226121
20243,11440600,대흥동,CS100002,중식음식점,266629697,22605
20243,11440600,대흥동,CS100003,일식음식점,89953016,2616
20243,11440600,대흥동,CS100004,양식음식점,298199600,12532
